Year/month,Groups and subgroups,Annual index changes by main groups and subgroups
2026M03,"04.5. Electricity, gas and other fuels",14.3
2026M02,"04.5. Electricity, gas and other fuels",14.4
2026M01,"04.5. Electricity, gas and other fuels",14.7
2025M12,"04.5. Electricity, gas and other fuels",13.4
2025M11,"04.5. Electricity, gas and other fuels",11.1
2025M10,"04.5. Electricity, gas and other fuels",12.6
2025M09,"04.5. Electricity, gas and other fuels",7.3
2025M08,"04.5. Electricity, gas and other fuels",5.6
2025M07,"04.5. Electricity, gas and other fuels",5.1
2025M06,"04.5. Electricity, gas and other fuels",5.7
2025M05,"04.5. Electricity, gas and other fuels",2.6
2025M04,"04.5. Electricity, gas and other fuels",2.1
2025M03,"04.5. Electricity, gas and other fuels",-2.4
2025M02,"04.5. Electricity, gas and other fuels",-2.9
2025M01,"04.5. Electricity, gas and other fuels",-2.8
2024M12,"04.5. Electricity, gas and other fuels",-4.7
2024M11,"04.5. Electricity, gas and other fuels",-2
2024M10,"04.5. Electricity, gas and other fuels",-1.2
2024M09,"04.5. Electricity, gas and other fuels",-1
2024M08,"04.5. Electricity, gas and other fuels",2.8
2024M07,"04.5. Electricity, gas and other fuels",2.8
2024M06,"04.5. Electricity, gas and other fuels",4
2024M05,"04.5. Electricity, gas and other fuels",3.5
2024M04,"04.5. Electricity, gas and other fuels",4.6
2024M03,"04.5. Electricity, gas and other fuels",10
2024M02,"04.5. Electricity, gas and other fuels",9
2024M01,"04.5. Electricity, gas and other fuels",7.5
2023M12,"04.5. Electricity, gas and other fuels",7.4
2023M11,"04.5. Electricity, gas and other fuels",4.8
2023M10,"04.5. Electricity, gas and other fuels",2.6
2023M09,"04.5. Electricity, gas and other fuels",4.1
2023M08,"04.5. Electricity, gas and other fuels",4.5
2023M07,"04.5. Electricity, gas and other fuels",7.1
2023M06,"04.5. Electricity, gas and other fuels",7.6
2023M05,"04.5. Electricity, gas and other fuels",10.3
2023M04,"04.5. Electricity, gas and other fuels",5.7
2023M03,"04.5. Electricity, gas and other fuels",2.8
2023M02,"04.5. Electricity, gas and other fuels",16.5
2023M01,"04.5. Electricity, gas and other fuels",19.1
2022M12,"04.5. Electricity, gas and other fuels",19.5
2022M11,"04.5. Electricity, gas and other fuels",16.8
2022M10,"04.5. Electricity, gas and other fuels",18.7
2022M09,"04.5. Electricity, gas and other fuels",19.3
2022M08,"04.5. Electricity, gas and other fuels",16.7
2022M07,"04.5. Electricity, gas and other fuels",15.3
2022M06,"04.5. Electricity, gas and other fuels",13.1
2022M05,"04.5. Electricity, gas and other fuels",17.9
2022M04,"04.5. Electricity, gas and other fuels",20.3
2022M03,"04.5. Electricity, gas and other fuels",22.7
2022M02,"04.5. Electricity, gas and other fuels",13
2022M01,"04.5. Electricity, gas and other fuels",12.6
2021M12,"04.5. Electricity, gas and other fuels",6.7
2021M11,"04.5. Electricity, gas and other fuels",6.5
2021M10,"04.5. Electricity, gas and other fuels",4.3
2021M09,"04.5. Electricity, gas and other fuels",2.7
2021M08,"04.5. Electricity, gas and other fuels",4.3
2021M07,"04.5. Electricity, gas and other fuels",2.8
2021M06,"04.5. Electricity, gas and other fuels",1.3
2021M05,"04.5. Electricity, gas and other fuels",-4
2021M04,"04.5. Electricity, gas and other fuels",-4.2
2021M03,"04.5. Electricity, gas and other fuels",-3.8
2021M02,"04.5. Electricity, gas and other fuels",-4.5
2021M01,"04.5. Electricity, gas and other fuels",-4.8
2020M12,"04.5. Electricity, gas and other fuels",0.8
2020M11,"04.5. Electricity, gas and other fuels",0.2
2020M10,"04.5. Electricity, gas and other fuels",-0.2
2020M09,"04.5. Electricity, gas and other fuels",-0.4
2020M08,"04.5. Electricity, gas and other fuels",-1.1
2020M07,"04.5. Electricity, gas and other fuels",-0.3
2020M06,"04.5. Electricity, gas and other fuels",0.8
2020M05,"04.5. Electricity, gas and other fuels",0.5
2020M04,"04.5. Electricity, gas and other fuels",0.5
2020M03,"04.5. Electricity, gas and other fuels",0.4
2020M02,"04.5. Electricity, gas and other fuels",-0.9
2020M01,"04.5. Electricity, gas and other fuels",-1.9
2019M12,"04.5. Electricity, gas and other fuels",-1.9
2019M11,"04.5. Electricity, gas and other fuels",-0.6
2019M10,"04.5. Electricity, gas and other fuels",0.9
2019M09,"04.5. Electricity, gas and other fuels",0.8
2019M08,"04.5. Electricity, gas and other fuels",0.5
2019M07,"04.5. Electricity, gas and other fuels",1.3
2019M06,"04.5. Electricity, gas and other fuels",2.1
2019M05,"04.5. Electricity, gas and other fuels",3.7
2019M04,"04.5. Electricity, gas and other fuels",-2.6
2019M03,"04.5. Electricity, gas and other fuels",-2.3
2019M02,"04.5. Electricity, gas and other fuels",-0.7
2019M01,"04.5. Electricity, gas and other fuels",-0.1
2018M12,"04.5. Electricity, gas and other fuels",-1.9
2018M11,"04.5. Electricity, gas and other fuels",-5.8
2018M10,"04.5. Electricity, gas and other fuels",-6.3
2018M09,"04.5. Electricity, gas and other fuels",-7
2018M08,"04.5. Electricity, gas and other fuels",-6.5
2018M07,"04.5. Electricity, gas and other fuels",-7
2018M06,"04.5. Electricity, gas and other fuels",-7
2018M05,"04.5. Electricity, gas and other fuels",8.4
2018M04,"04.5. Electricity, gas and other fuels",-1.5
2018M03,"04.5. Electricity, gas and other fuels",-8.7
2018M02,"04.5. Electricity, gas and other fuels",-9.4
2018M01,"04.5. Electricity, gas and other fuels",-8.7
2017M12,"04.5. Electricity, gas and other fuels",-5.4
2017M11,"04.5. Electricity, gas and other fuels",-3
2017M10,"04.5. Electricity, gas and other fuels",-3.4
2017M09,"04.5. Electricity, gas and other fuels",17.1
2017M08,"04.5. Electricity, gas and other fuels",16.5
2017M07,"04.5. Electricity, gas and other fuels",16.6
2017M06,"04.5. Electricity, gas and other fuels",16.3
2017M05,"04.5. Electricity, gas and other fuels",-1.3
2017M04,"04.5. Electricity, gas and other fuels",15.6
2017M03,"04.5. Electricity, gas and other fuels",4.1
2017M02,"04.5. Electricity, gas and other fuels",3.9
2017M01,"04.5. Electricity, gas and other fuels",3.4
2016M12,"04.5. Electricity, gas and other fuels",1
2016M11,"04.5. Electricity, gas and other fuels",1.2
2016M10,"04.5. Electricity, gas and other fuels",1.6
2016M09,"04.5. Electricity, gas and other fuels",-0.2
2016M08,"04.5. Electricity, gas and other fuels",-4.5
2016M07,"04.5. Electricity, gas and other fuels",-4.9
2016M06,"04.5. Electricity, gas and other fuels",-5.3
2016M05,"04.5. Electricity, gas and other fuels",-5.3
2016M04,"04.5. Electricity, gas and other fuels",-5.2
2016M03,"04.5. Electricity, gas and other fuels",-4.1
2016M02,"04.5. Electricity, gas and other fuels",-3.6
2016M01,"04.5. Electricity, gas and other fuels",-3.8
2015M12,"04.5. Electricity, gas and other fuels",-4.1
2015M11,"04.5. Electricity, gas and other fuels",-4.2
2015M10,"04.5. Electricity, gas and other fuels",-4.6
2015M09,"04.5. Electricity, gas and other fuels",-2.5
2015M08,"04.5. Electricity, gas and other fuels",5.1
2015M07,"04.5. Electricity, gas and other fuels",5
2015M06,"04.5. Electricity, gas and other fuels",8.4
2015M05,"04.5. Electricity, gas and other fuels",8
2015M04,"04.5. Electricity, gas and other fuels",6.1
2015M03,"04.5. Electricity, gas and other fuels",7.2
2015M02,"04.5. Electricity, gas and other fuels",7.4
2015M01,"04.5. Electricity, gas and other fuels",7.8
2014M12,"04.5. Electricity, gas and other fuels",8.8
2014M11,"04.5. Electricity, gas and other fuels",9.6
2014M10,"04.5. Electricity, gas and other fuels",9.5
2014M09,"04.5. Electricity, gas and other fuels",9.3
2014M08,"04.5. Electricity, gas and other fuels",7
2014M07,"04.5. Electricity, gas and other fuels",6.8
2014M06,"04.5. Electricity, gas and other fuels",4.7
2014M05,"04.5. Electricity, gas and other fuels",5.4
2014M04,"04.5. Electricity, gas and other fuels",4.6
2014M03,"04.5. Electricity, gas and other fuels",1.2
2014M02,"04.5. Electricity, gas and other fuels",1
2014M01,"04.5. Electricity, gas and other fuels",0.1
2013M12,"04.5. Electricity, gas and other fuels",-0.5
2013M11,"04.5. Electricity, gas and other fuels",-1.2
2013M10,"04.5. Electricity, gas and other fuels",-1.5
2013M09,"04.5. Electricity, gas and other fuels",-3.2
2013M08,"04.5. Electricity, gas and other fuels",-2.5
2013M07,"04.5. Electricity, gas and other fuels",-0.6
2013M06,"04.5. Electricity, gas and other fuels",-2
2013M05,"04.5. Electricity, gas and other fuels",0.1
2013M04,"04.5. Electricity, gas and other fuels",1.9
2013M03,"04.5. Electricity, gas and other fuels",2.1
2013M02,"04.5. Electricity, gas and other fuels",-2
2013M01,"04.5. Electricity, gas and other fuels",6.9
2012M12,"04.5. Electricity, gas and other fuels",7.6
2012M11,"04.5. Electricity, gas and other fuels",7.9
2012M10,"04.5. Electricity, gas and other fuels",8.3
2012M09,"04.5. Electricity, gas and other fuels",11.9
2012M08,"04.5. Electricity, gas and other fuels",9
2012M07,"04.5. Electricity, gas and other fuels",8.1
2012M06,"04.5. Electricity, gas and other fuels",10.5
2012M05,"04.5. Electricity, gas and other fuels",7.8
2012M04,"04.5. Electricity, gas and other fuels",8.3
2012M03,"04.5. Electricity, gas and other fuels",6.3
2012M02,"04.5. Electricity, gas and other fuels",10.7
2012M01,"04.5. Electricity, gas and other fuels",0.9
2011M12,"04.5. Electricity, gas and other fuels",-0.4
2011M11,"04.5. Electricity, gas and other fuels",-0.7
2011M10,"04.5. Electricity, gas and other fuels",-1.2
2011M09,"04.5. Electricity, gas and other fuels",-0.3
2011M08,"04.5. Electricity, gas and other fuels",3.2
2011M07,"04.5. Electricity, gas and other fuels",3.6
2011M06,"04.5. Electricity, gas and other fuels",1.9
2011M05,"04.5. Electricity, gas and other fuels",1.5
2011M04,"04.5. Electricity, gas and other fuels",-0.9
2011M03,"04.5. Electricity, gas and other fuels",0.9
2011M02,"04.5. Electricity, gas and other fuels",0.2
2011M01,"04.5. Electricity, gas and other fuels",2.1
2010M12,"04.5. Electricity, gas and other fuels",3.2
2010M11,"04.5. Electricity, gas and other fuels",3.6
2010M10,"04.5. Electricity, gas and other fuels",4.4
2010M09,"04.5. Electricity, gas and other fuels",3.9
2010M08,"04.5. Electricity, gas and other fuels",-0.1
2010M07,"04.5. Electricity, gas and other fuels",-0.1
2010M06,"04.5. Electricity, gas and other fuels",-0.5
2010M05,"04.5. Electricity, gas and other fuels",-0.6
2010M04,"04.5. Electricity, gas and other fuels",1.8
2010M03,"04.5. Electricity, gas and other fuels",8.7
2010M02,"04.5. Electricity, gas and other fuels",7.8
2010M01,"04.5. Electricity, gas and other fuels",8.4
2009M12,"04.5. Electricity, gas and other fuels",6.7
2009M11,"04.5. Electricity, gas and other fuels",6.3
2009M10,"04.5. Electricity, gas and other fuels",8.6
2009M09,"04.5. Electricity, gas and other fuels",-2
2009M08,"04.5. Electricity, gas and other fuels",0.3
2009M07,"04.5. Electricity, gas and other fuels",0.1
2009M06,"04.5. Electricity, gas and other fuels",2.2
2009M05,"04.5. Electricity, gas and other fuels",3.7
2009M04,"04.5. Electricity, gas and other fuels",5.5
2009M03,"04.5. Electricity, gas and other fuels",3.8
2009M02,"04.5. Electricity, gas and other fuels",5.3
2009M01,"04.5. Electricity, gas and other fuels",5.5
2008M12,"04.5. Electricity, gas and other fuels",8.2
2008M11,"04.5. Electricity, gas and other fuels",8.8
2008M10,"04.5. Electricity, gas and other fuels",5.9
2008M09,"04.5. Electricity, gas and other fuels",6.9
2008M08,"04.5. Electricity, gas and other fuels",6.2
2008M07,"04.5. Electricity, gas and other fuels",7.2
2008M06,"04.5. Electricity, gas and other fuels",6.1
2008M05,"04.5. Electricity, gas and other fuels",7.2
2008M04,"04.5. Electricity, gas and other fuels",3
2008M03,"04.5. Electricity, gas and other fuels",5.3
2008M02,"04.5. Electricity, gas and other fuels",3.9
2008M01,"04.5. Electricity, gas and other fuels",2.2
2007M12,"04.5. Electricity, gas and other fuels",0.4
2007M11,"04.5. Electricity, gas and other fuels",0.4
2007M10,"04.5. Electricity, gas and other fuels",0.3
2007M09,"04.5. Electricity, gas and other fuels",-1.3
2007M08,"04.5. Electricity, gas and other fuels",-0.7
2007M07,"04.5. Electricity, gas and other fuels",-1.9
2007M06,"04.5. Electricity, gas and other fuels",-1.9
2007M05,"04.5. Electricity, gas and other fuels",-3.8
2007M04,"04.5. Electricity, gas and other fuels",-2.1
2007M03,"04.5. Electricity, gas and other fuels",-2.4
2007M02,"04.5. Electricity, gas and other fuels",-2.1
2007M01,"04.5. Electricity, gas and other fuels",-1.2
2006M12,"04.5. Electricity, gas and other fuels",-2.4
2006M11,"04.5. Electricity, gas and other fuels",-2.9
2006M10,"04.5. Electricity, gas and other fuels",-1.2
2006M09,"04.5. Electricity, gas and other fuels",-1.5
2006M08,"04.5. Electricity, gas and other fuels",-1.5
2006M07,"04.5. Electricity, gas and other fuels",-2.4
2006M06,"04.5. Electricity, gas and other fuels",-2.7
2006M05,"04.5. Electricity, gas and other fuels",-3.3
2006M04,"04.5. Electricity, gas and other fuels",-5.3
2006M03,"04.5. Electricity, gas and other fuels",-1.4
2006M02,"04.5. Electricity, gas and other fuels",-0.8
2006M01,"04.5. Electricity, gas and other fuels",-3.7
2005M12,"04.5. Electricity, gas and other fuels",-3.4
2005M11,"04.5. Electricity, gas and other fuels",-3.4
2005M10,"04.5. Electricity, gas and other fuels",-5.6
2005M09,"04.5. Electricity, gas and other fuels",-3.8
2005M08,"04.5. Electricity, gas and other fuels",-4.6
2005M07,"04.5. Electricity, gas and other fuels",-2.7
2005M06,"04.5. Electricity, gas and other fuels",-4
2005M05,"04.5. Electricity, gas and other fuels",-5.2
2005M04,"04.5. Electricity, gas and other fuels",-2.2
2005M03,"04.5. Electricity, gas and other fuels",-2.9
2005M02,"04.5. Electricity, gas and other fuels",-1.8
2005M01,"04.5. Electricity, gas and other fuels",0.5
2004M12,"04.5. Electricity, gas and other fuels",2.6
2004M11,"04.5. Electricity, gas and other fuels",2.2
2004M10,"04.5. Electricity, gas and other fuels",2.8
2004M09,"04.5. Electricity, gas and other fuels",5.4
2004M08,"04.5. Electricity, gas and other fuels",4.2
2004M07,"04.5. Electricity, gas and other fuels",2
2004M06,"04.5. Electricity, gas and other fuels",2.9
2004M05,"04.5. Electricity, gas and other fuels",5.1
2004M04,"04.5. Electricity, gas and other fuels",4
2004M03,"04.5. Electricity, gas and other fuels",-1.4
2004M02,"04.5. Electricity, gas and other fuels",-2.1
2004M01,"04.5. Electricity, gas and other fuels",-1.9
2003M12,"04.5. Electricity, gas and other fuels",-2.3
2003M11,"04.5. Electricity, gas and other fuels",-1.6
2003M10,"04.5. Electricity, gas and other fuels",-2.1
2003M09,"04.5. Electricity, gas and other fuels",-4.9
2003M08,"04.5. Electricity, gas and other fuels",-2.3
2003M07,"04.5. Electricity, gas and other fuels",-0.3
2003M06,"04.5. Electricity, gas and other fuels",0.9
2003M05,"04.5. Electricity, gas and other fuels",0.6
